start_time,away_team,away_team_score,home_team,home_team_score
2018-11-25 01:30:00+00:00,BOSTON CELTICS,104,DALLAS MAVERICKS,113
2018-11-25 01:30:00+00:00,SACRAMENTO KINGS,116,GOLDEN STATE WARRIORS,117
2018-11-25 01:30:00+00:00,SAN ANTONIO SPURS,129,MILWAUKEE BUCKS,135
2018-11-25 01:00:00+00:00,CHICAGO BULLS,96,MINNESOTA TIMBERWOLVES,111
2018-11-25 01:00:00+00:00,DENVER NUGGETS,105,OKLAHOMA CITY THUNDER,98
2018-11-25 01:00:00+00:00,NEW ORLEANS PELICANS,114,WASHINGTON WIZARDS,124
2018-11-25 23:00:00+00:00,CHARLOTTE HORNETS,123,ATLANTA HAWKS,124
2018-11-25 23:00:00+00:00,PHILADELPHIA 76ERS,127,BROOKLYN NETS,125
2018-11-25 21:00:00+00:00,PHOENIX SUNS,107,DETROIT PISTONS,118
2018-11-25 20:30:00+00:00,ORLANDO MAGIC,108,LOS ANGELES LAKERS,104
2018-11-25 23:00:00+00:00,NEW YORK KNICKS,103,MEMPHIS GRIZZLIES,98
